Step,MG1_Cost(Euro),MG2_Cost(Euro),MG3_Cost(Euro),MG4_Cost(Euro),DG_Cost(Euro),Total_System_Cost(Euro),Network_Loss(MW)
0,-0.10973933750000006,-0.18381220000000004,0.0,-0.08634908750000007,-0.8766937500000003,-1.2565943750000004,0.06985434982684804
1,-0.2135414124999997,0.0,0.0,-0.19690238750000008,-0.9471779999999995,-1.3576217999999993,0.06779388834803277
2,-0.2415892375,-0.31421438750000014,0.0,-0.11369312499999985,-1.5449925,-2.2144892499999997,0.06530259118109913
3,-0.14015316250000018,0.0,0.0,-0.21813366250000008,-0.8268157500000006,-1.1851025750000008,0.06453955620612561
4,-0.8640077874999997,0.0,0.0,-0.39649252500000004,-2.9088468749999996,-4.1693471875,0.06163081448703348
5,-0.7568229499999997,-0.4002123125,0.0,-0.25084052500000004,-3.2489441249999995,-4.6568199125,0.06018667258667706
6,-0.6679892374999997,0.0,0.0,-0.34001256250000006,-2.3261579999999995,-3.3341597999999992,0.06046816348877321
7,-0.47469581249999987,-0.4546928749999998,0.0,-0.34644155,-2.9442236249999993,-4.220053862499999,0.05922415967072581
8,0.286355,-0.5397912000000001,0.0,-0.21304318749999995,-0.8782451250000002,-1.3447245125000002,0.06061363542552389
9,0.42577612500000017,0.0,0.0,-0.2849946124999999,-0.2685143500000003,-0.12773283750000003,0.062275420503909384
10,-0.31543346250000015,-0.7046240500000002,0.0,-0.2939145625000001,-3.0322432500000005,-4.346215325000001,0.05939524327221686
11,-1.6391032125,-0.48679475000000016,0.0,-0.37634626250000014,-5.774409750000002,-8.276653975000002,0.058221908762805204
12,-1.8301877749999997,-0.7062706624999997,0.0,-0.26249470000000014,-6.459122624999999,-9.258075762499999,0.058560874648294986
13,-1.2488818874999998,-0.8244651999999999,0.0,-0.27234886250000007,-5.4131445,-7.758840449999999,0.060399904918018846
14,-1.8281685499999998,0.0,0.0,-0.3981973125,-5.137767375,-7.3641332375,0.06269542133847301
15,-1.7154210124999996,-0.6193053750000002,0.0,-0.29447275000000017,-6.067382624999999,-8.6965817625,0.06328749965056962
16,-1.8637648249999996,-0.7288295625000001,0.0,-0.3622539375000001,-6.81888075,-9.773729075,0.06460354665290172
17,-1.7854745999999997,-0.6803379375,0.0,-0.4182618375000001,-6.65555625,-9.539630625000001,0.06702046961445662
18,-2.0161368499999996,-0.630836375,0.0,-0.3794945375,-6.9841563749999995,-10.010624137499999,0.06941903989779125
19,-1.8466040125,-0.6731999625000002,0.0,-0.30531442500000017,-6.519504000000001,-9.344622400000002,0.07267165518917798
20,-2.189711875,-0.601714425,0.0,-0.49010357499999996,-7.572761249999999,-10.854291125,0.07490982252072136
21,-2.1766675124999995,0.0,0.0,-0.5507281000000002,-6.39888970625,-9.12628531875,0.07997672768189903
22,-2.0359221999999995,-0.37110888749999993,0.0,-0.3786914625000001,-6.428590499999999,-9.214313049999998,0.08338786227807557
23,-2.169760775,-0.3331209375000001,0.0,-0.1279438875000002,-6.071135999999999,-8.701961599999999,0.08802290962256001
24,-2.2237024875,-0.01032655000000025,0.0,0.012815249999999879,-5.117005875000002,-7.338219662500002,0.09375772671425774
25,-2.140828625,-0.07918007499999996,0.0,0.08418499999999991,-4.870542,-7.006365700000001,0.09870164565963066
26,-2.2999981875000004,-0.12373334999999985,0.0,0.19331585625000014,-5.065801425000001,-7.296217106250001,0.10368993035947038
27,-2.2886683625,0.0,0.0,0.2879648312500001,-4.4450494124999995,-6.44575294375,0.109860088091571
28,-2.3423729875,-0.7265674,-0.1705213249999999,0.6118239874999998,-5.63599854375,-8.26363626875,0.11399128764339614
29,-2.1834587125000002,-0.9113505374999998,-0.22454233750000005,0.63765425,-5.747079375,-8.4287767125,0.11939491387370035
30,-2.229740825,-1.0662180749999999,-0.24567188750000005,0.2853299999999999,-7.317004125,-10.5733049125,0.12306391626660798
31,-2.38466085,-1.3313309749999997,-0.146198325,0.55249175,-7.255271249999999,-10.564969649999998,0.12925615864268625
32,-2.507793275,-2.431206862500001,-0.7339812999999998,0.9550772500000001,-10.226263875,-14.944168062500001,0.13234999645229467
33,-2.1727951375000005,-1.3200747625000009,-0.6311826624999998,0.0,-9.517044375000003,-13.641096937500004,0.13932260443631864
34,-2.33395045,-0.836063150000001,-0.011586412499999721,-0.209844375,-7.826410125000002,-11.217854512500004,0.1475581757843552
35,-2.4907441000000006,-0.9714677374999997,0.0,-0.14279151250000016,-8.3192385,-11.924241850000001,0.15360211725804127
36,-2.364935625,-3.0791125625,-2.2102284750000005,0.0,-17.663715375000002,-25.317992037500005,0.14942137284342452
37,-2.3340817499999997,-2.9732547000000005,-2.3471306625,2.1607023750000005,-11.182047749999999,-16.6758124875,0.16830491649041981
