Step,MG1_Cost(Euro),MG2_Cost(Euro),MG3_Cost(Euro),MG4_Cost(Euro),DG_Cost(Euro),Total_System_Cost(Euro),Network_Loss(MW)
0,-0.10551859375000006,-0.17674250000000002,0.0,-0.08302796875000007,-0.8913053125000003,-1.2565943750000006,0.06985434982684804
1,-0.19711514999999968,0.017499824999999927,0.0,-0.18175605000000009,-0.9184734249999997,-1.2798447999999996,0.06786294759767322
2,-0.23229734375,-0.3021292187500001,0.0,-0.10932031249999985,-1.570742375,-2.2144892499999997,0.06530259118109913
3,-0.12937215000000016,-0.2849719499999998,0.0,-0.20135415000000004,-1.5905538125,-2.2062520625,0.06372693190886278
4,-0.8307767187499997,-0.4555195312499999,0.0,-0.38124281250000003,-4.068795312499999,-5.736334374999998,0.06042213274121788
5,-0.7568229499999997,-0.4002123125,0.0,-0.25084052500000004,-3.3030931937499997,-4.71096898125,0.06018667258667706
6,-0.6422973437499997,-0.4633960937499998,0.0,-0.32693515625,-3.5529189124999982,-4.985547506249998,0.05925174512143901
7,-0.43818074999999984,-0.4197164999999997,0.0,-0.31979219999999997,-3.0914348062499992,-4.269124256249999,0.05922415967072581
8,0.0,-0.5190300000000001,0.0,-0.20484921874999995,-1.7952204625000003,-2.51909968125,0.05998330045400238
9,0.0,-0.6661611000000002,0.0,-0.26307194999999994,-2.4392367562500006,-3.3684698062500007,0.05949883727404902
10,-0.2790372937500001,-0.623321275,0.0,-0.26000134375000006,-3.2343928000000006,-4.3967527125000005,0.05939524327221686
11,-1.3869334875,-0.41190325000000005,0.0,-0.3184468375000001,-6.255610562500002,-8.372894137500001,0.058221908762805204
12,-1.4782285874999994,-0.5704493812499997,0.0,-0.21201495000000006,-7.1050348875,-9.365727806249998,0.058560874648294986
13,-1.00871229375,-0.6659142,0.0,-0.21997408125000006,-5.864239874999999,-7.758840449999999,0.060399904918018846
14,-1.4765976749999998,-0.7433299125,0.0,-0.32162090625,-7.86669771875,-10.4082462125,0.060364891542108376
15,-1.3855323562499997,-0.5002081875000002,0.0,-0.23784337500000013,-6.572997843749999,-8.6965817625,0.06328749965056962
16,-1.5770317749999998,-0.6167019375000001,0.0,-0.3065225625000001,-7.500768825000001,-10.0010251,0.06460354665290172
17,-1.4421140999999997,-0.54950371875,0.0,-0.3378268687500001,-7.2101859374999995,-9.539630625,0.06702046961445662
18,-1.5508744999999997,-0.48525875000000007,0.0,-0.291918875,-7.682572012499999,-10.010624137499999,0.06941903989779125
19,-1.49148785625,-0.5437384312500002,0.0,-0.24660011250000016,-7.062796000000001,-9.344622400000002,0.07267165518917798
20,-1.852833125,-0.5091429750000002,0.0,-0.414703025,-8.077611999999998,-10.854291125,0.07490982252072136
21,-1.9255135687499998,-0.6055510437500002,0.0,-0.48718255000000016,-8.2673726625,-11.285619825,0.07797351312503242
22,-1.8793128,0.0,0.0,-0.3495613500000001,-5.757924887499999,-7.986799037499999,0.08451735597465004
