Step,MG1_Cost(Euro),MG2_Cost(Euro),MG3_Cost(Euro),MG4_Cost(Euro),DG_Cost(Euro),Total_System_Cost(Euro),Network_Loss(MW)
0,-0.10973933750000006,-0.18381220000000004,0.0,-0.08634908750000007,-0.8766937500000003,-1.2565943750000004,0.06985434982684804
1,-0.2135414124999997,0.01944424999999992,0.2610620625,-0.19690238750000008,-0.8888452499999997,-1.0187827374999996,0.06786294759767322
2,-0.2415892375,-0.31421438750000014,0.2643654374999999,-0.11369312499999985,-1.5449925,-1.9501238125,0.06530259118109913
3,-0.14015316250000018,-0.30871961249999985,0.092167875,-0.21813366250000008,-1.2627420000000003,-1.8375805625000003,0.06384047756003422
4,-0.8640077874999997,-0.47374031249999987,0.210718375,-0.39649252500000004,-3.3699386249999987,-4.893460874999998,0.06067748989332713
5,-0.7568229499999997,-0.4002123125,0.0,-0.25084052500000004,-3.2489441249999995,-4.6568199125,0.06018667258667706
6,-0.6679892374999997,-0.4819319374999998,0.0,-0.34001256250000006,-3.4383086249999986,-4.928242362499998,0.05925174512143901
7,-0.47469581249999987,-0.4546928749999998,0.0,-0.34644155,-2.9442236249999993,-4.220053862499999,0.05922415967072581
8,0.4295325,-0.5397912000000001,0.0,-0.21304318749999995,-1.7373101250000003,-2.0606120125000005,0.05998330045400238
9,0.6386641875000002,-0.7216745250000002,0.0,-0.2849946124999999,-2.3230826250000005,-2.6910875750000005,0.05949883727404902
10,-0.31543346250000015,-0.7046240500000002,0.0,-0.2939145625000001,-3.0322432500000005,-4.346215325000001,0.05939524327221686
11,-1.6391032125,-0.48679475000000016,0.0,-0.37634626250000014,-5.774409750000002,-8.276653975000002,0.058221908762805204
12,-1.8301877749999997,-0.7062706624999997,0.0,-0.26249470000000014,-6.459122624999999,-9.258075762499999,0.058560874648294986
13,-1.2488818874999998,-0.8244651999999999,0.11751487500000009,-0.27234886250000007,-5.060599874999999,-7.28878095,0.06054262995344319
14,-1.8281685499999998,-0.920313225,0.13843008125000006,-0.3981973125,-6.938159825,-9.94640883125,0.06054289903008976
15,-1.7154210124999996,-0.6193053750000002,0.0,-0.29447275000000017,-6.067382624999999,-8.6965817625,0.06328749965056962
16,-1.8637648249999996,-0.7288295625000001,0.17909787500000007,-0.3622539375000001,-6.281587125,-9.057337575,0.06482958861202749
17,-1.7854745999999997,-0.6803379375,0.0,-0.4182618375000001,-6.65555625,-9.539630625000001,0.06702046961445662
18,-2.0161368499999996,-0.630836375,0.053297125000000105,-0.3794945375,-6.824264999999999,-9.797435637499998,0.06948856915300591
19,-1.8466040125,-0.6731999625000002,0.0,-0.30531442500000017,-6.519504000000001,-9.344622400000002,0.07267165518917798
20,-2.189711875,-0.601714425,0.0,-0.49010357499999996,-7.572761249999999,-10.854291125,0.07490982252072136
21,-2.1766675124999995,-0.6845359625000002,0.0,-0.5507281000000002,-7.87368825,-11.285619825,0.07797351312503242
22,-2.0359221999999995,-0.37110888749999993,0.0,-0.3786914625000001,-6.428590499999999,-9.214313049999998,0.08338786227807557
23,-2.169760775,0.0,0.0,-0.1279438875000002,-5.302395375,-7.6001000375,0.08906616426264283
24,-2.2237024875,-0.01032655000000025,0.0,0.0,-5.155451625000001,-7.389480662500002,0.09370775286031713
25,-2.140828625,-0.07918007499999996,0.19031812500000012,0.0,-4.552142625,-6.5818332,0.09865859320235537
26,-2.2999981875000004,-0.12373334999999985,0.0,0.0,-5.593226625000001,-8.0169581625,0.10284984338887268
27,-2.2886683625,0.4861513749999999,0.0,0.0,-3.8230882500000005,-5.6256052375,0.11083600313880265
28,-2.3423729875,-0.7265674,-0.1705213249999999,0.0,-7.475680875,-10.7151425875,0.11117551610807427
29,-2.1834587125000002,-0.9113505374999998,-0.22454233750000005,0.0,-7.660042125,-10.9793937125,0.11653018794406572
30,-2.229740825,-1.0662180749999999,-0.24567188750000005,0.0,-8.172994125,-11.7146249125,0.12175829156881844
31,-2.38466085,-1.3313309749999997,-0.146198325,0.0,-8.912746499999999,-12.774936649999999,0.12665401495015854
32,-2.507793275,-2.431206862500001,-0.7339812999999998,0.0,-13.091495625000002,-18.764477062500003,0.12775668728189513
33,-2.1727951375000005,-1.3200747625000009,-0.6311826624999998,0.0,-9.517044375000003,-13.641096937500004,0.13932260443631864
34,-2.33395045,-0.836063150000001,-0.011586412499999721,-0.209844375,-7.826410125000002,-11.217854512500004,0.1475581757843552
35,-2.4907441000000006,0.0,0.0,-0.14279151250000016,-6.0773898750000015,-8.710925487500003,0.15776517919711344
36,-2.364935625,-3.0791125625,-2.2102284750000005,0.0,-17.663715375000002,-25.317992037500005,0.14942137284342452
37,-2.3340817499999997,0.0,-2.3471306625,0.0,-10.802797875000001,-15.484010287500002,0.16912112028808834
38,-2.2947586999999996,-2.9589148875000006,-2.1898012500000004,0.0,-17.177249625,-24.6207244625,0.16334854973630306
39,-2.2815949000000004,-2.995426525000001,-1.507432225,0.0,-15.656431500000004,-22.440885150000007,0.17088983350096681
40,-1.2743628624999996,-3.20996585,-2.2899378125,-0.4145097124999998,-16.589483625,-23.7782598625,0.1764810659696659
41,-1.8707415999999997,-3.2079206249999994,-1.6433248,-1.5956822375000002,-19.194621374999997,-27.512290637499994,0.17695468423943173
42,-2.2072597625,-3.165700524999999,-0.7764183374999998,-1.86717765,-18.499745249999997,-26.516301524999996,0.1825039023533565
43,0.03689399999999949,-3.1100985499999996,-0.8775311999999993,-1.889875975,-13.563474749999997,-19.404086474999996,0.19541231416805477
44,-0.5340811124999998,-3.1155809750000008,-1.6786627000000003,-2.2433591374999997,-17.473116750000003,-25.044800675000005,0.19649131622020768
45,-2.1941421125,-3.2260387250000004,-2.0448393874999993,-1.3314162874999997,-20.299468874999995,-29.095905387499997,0.19964395496000978
46,-2.4483268875,-3.1564560625,-2.710851975,-2.2516030874999995,-24.385933875,-34.9531718875,0.19886299478212743
47,-2.7028512874999997,-2.9899263875,-3.4695740625,-2.534552475,-26.992855874999997,-38.6897600875,0.20093327240062536
48,-3.2178381625000005,-2.3795425875,-3.3792373874999995,-1.5665625625000001,-24.330417,-34.873597700000005,0.2112352290102822
49,-3.3190959750000006,-0.34590367500000013,-3.2712086874999997,-1.5754063,-19.642187625000005,-28.153802262500005,0.22561607112242402
50,-2.8586925250000004,-1.6350673624999998,-3.2021928249999996,-1.5037863750000002,-21.230167125,-30.4299062125,0.22434440927710586
51,-1.8814017187500003,-2.32312203125,-3.13558765625,-1.5456229687500003,-21.681191875000003,-30.56692625,0.22581311813869237
52,-2.82844296875,-0.6039137500000002,-1.8661010937500007,0.0,-12.928237062500001,-18.226694875,0.2451640644111798
53,-2.85919625,-0.8998271874999999,-1.6173829687500005,-0.896938125,-15.30696065625,-21.580305187500002,0.24099517549182897
54,-2.71806859375,-0.8889751562499999,-1.58475625,-0.9584207812499999,-15.00653870625,-21.1567594875,0.24278430682218116
55,-1.5591290000000002,-0.9788603500000003,-1.8835839750000005,0.0,-10.373691262500001,-14.795264587500002,0.25283655105602615
