Step,MG1_Cost(Euro),MG2_Cost(Euro),MG3_Cost(Euro),MG4_Cost(Euro),DG_Cost(Euro),Total_System_Cost(Euro),Network_Loss(MW)
0,-0.10551859375000006,0.0,0.0,0.0,-0.25746536875000015,-0.3629839625000002,0.07058372376272543
1,-0.19711514999999968,0.017499824999999927,0.0,-0.18175605000000009,-0.9184734249999997,-1.2798447999999996,0.06786294759767322
2,-0.21371355625,0.0,0.0,-0.10057468749999986,-0.8608764937499996,-1.1751647374999994,0.06613993885790029
3,-0.11859113750000014,0.0,0.0,-0.18457463750000003,-0.8819368000000006,-1.1851025750000008,0.06453955620612561
4,-0.6978524437499997,0.0,0.0,-0.3202439625,-3.15125078125,-4.1693471875,0.06163081448703348
5,-0.5821714999999997,0.0,0.0,-0.19295425000000002,-2.557914974999999,-3.333040724999999,0.06120538382810217
6,-0.5138378749999998,0.0,0.0,-0.261548125,-2.558773799999999,-3.334159799999999,0.06046816348877321
7,-0.3651506249999999,0.0,0.0,-0.2664935,-2.0844256124999996,-2.7160697374999994,0.06037246532524053
8,0.20044850000000003,0.0,0.0,0.0,-0.286355,-0.0859065,0.06250144813340952
9,0.29804328750000014,0.0,0.2591040000000001,-0.21922662499999995,-0.20654950000000022,0.13137116250000014,0.062275420503909384
10,-0.24264112500000012,0.0,0.0,0.0,-0.8007157125000004,-1.0433568375000006,0.06186813783695083
11,-1.2608486250000002,0.0,0.0,-0.28949712500000013,-5.116140975,-6.666486725,0.05943596897289173
12,-1.4078367499999997,0.0,0.29427768750000033,0.0,-4.645861274999999,-5.759420337499998,0.060938828690263035
13,-0.9606783749999999,0.0,0.0,-0.20949912500000006,-3.8615857499999997,-5.031763249999999,0.062491560752914524
14,-1.4062834999999998,0.0,0.0,-0.306305625,-5.6515441125,-7.3641332375,0.06269542133847301
15,-1.3195546249999996,-0.47638875000000014,0.0,0.0,-5.926613137499999,-7.722556512499999,0.06400188783651484
16,-1.4336652499999998,0.0,0.0,-0.2786568750000001,-5.650663012499999,-7.362985137499999,0.06652266228553036
17,-1.3734419999999998,0.0,0.0,-0.3217398750000001,-5.5941001875,-7.2892820625,0.06885072929113427
18,-1.5508744999999997,-0.48525875000000007,0.0,-0.291918875,-7.682572012499999,-10.010624137499999,0.06941903989779125
19,-1.4204646250000001,-0.5178461250000002,0.0,-0.23485725000000013,-7.171454400000002,-9.344622400000002,0.07267165518917798
20,-1.68439375,-0.4628572500000001,0.0,-0.37700274999999994,-8.330037375,-10.854291125,0.07490982252072136
21,-1.6743596249999997,-0.5265661250000001,0.0,-0.4236370000000001,-8.661057075,-11.285619825000001,0.07797351312503242
22,-1.5660939999999997,-0.28546837499999994,0.0,-0.29130112500000005,-7.07144955,-9.21431305,0.08338786227807557
23,-1.6690467499999997,-0.2562468750000001,0.0,-0.09841837500000016,-6.678249599999999,-8.701961599999999,0.08802290962256001
24,-1.7105403750000001,-0.007943500000000192,0.0,0.0,-5.670996787500002,-7.389480662500002,0.09370775286031713
25,-1.6467912500000002,-0.060907749999999976,0.0,0.0,-5.635406700000001,-7.343105700000001,0.09836369636223784
26,-1.769229375,-0.09517949999999989,0.0,0.0,-6.152549287500001,-8.016958162500002,0.10284984338887268
27,-1.760514125,0.0,0.0,0.0,-5.8096966125,-7.5702107375,0.10856858261552815
28,-1.801825375,-0.558898,-0.1311702499999999,0.0,-8.2232489625,-10.715142587499999,0.11117551610807427
29,-1.6795836250000002,-0.701038875,-0.17272487500000003,0.0,-8.4260463375,-10.979393712500002,0.11653018794406572
30,-1.7151852500000002,-0.82016775,-0.18897837500000003,0.0,-8.990293537500001,-11.714624912500001,0.12175829156881844
31,-1.8343544999999999,-1.02410075,-0.11246025,0.0,-9.804021149999999,-12.774936649999997,0.12665401495015854
32,-1.92907175,-1.8701591250000007,-0.5646009999999999,0.0,-14.400645187500002,-18.764477062500003,0.12775668728189513
33,-1.6713808750000003,-1.0154421250000005,-0.4855251249999999,0.0,-10.468748812500003,-13.641096937500004,0.13932260443631864
34,-1.7953465000000002,-0.6431255000000008,-0.008912624999999785,-0.16141875,-8.609051137500003,-11.217854512500004,0.1475581757843552
35,-1.9159570000000004,-0.7472828749999998,0.0,-0.10983962500000014,-9.15116235,-11.924241850000001,0.15360211725804127
36,-1.8191812500000002,-2.3685481250000002,-1.7001757500000005,0.0,-19.430086912500006,-25.317992037500005,0.14942137284342452
37,-1.7954474999999999,-2.287119,-1.805485125,0.0,-19.4305703625,-25.3186219875,0.15632524809714432
38,-1.765199,-2.2760883750000005,-1.6844625000000002,0.0,-18.894974587500002,-24.620724462500004,0.16334854973630306
39,-1.7550730000000003,-2.3041742500000004,0.0,0.0,-13.395515925000005,-17.454763175000004,0.17329721010208837
40,-0.9802791249999997,-2.4692045,-1.7614906249999998,-0.31885362499999986,-18.2484319875,-23.778259862499997,0.1764810659696659
41,-1.4390319999999999,-2.4676312499999997,-1.264096,-1.2274478750000002,-21.114083512499995,-27.512290637499994,0.17695468423943173
42,-1.697892125,-2.4351542499999996,-0.5972448749999998,-1.4362905000000001,-20.349719774999997,-26.516301524999996,0.1825039023533565
43,0.03689399999999949,-2.3923834999999998,-0.6750239999999995,-1.4537507500000002,-14.919822224999997,-19.404086475,0.19541231416805477
44,-0.4108316249999998,-2.3966007500000006,-1.2912790000000003,-1.725660875,-19.220428425,-25.044800675,0.19649131622020768
45,-1.6878016249999999,-2.4815682500000005,-1.5729533749999995,-1.0241663749999999,-22.329415762499995,-29.095905387499997,0.19964395496000978
46,-1.883328375,-2.4280431250000003,-2.0852707500000003,-1.7320023749999998,-26.8245272625,-34.9531718875,0.19886299478212743
47,-2.0791163749999995,-2.2999433750000002,-2.668903125,-1.9496557499999998,-29.692141462499997,-38.6897600875,0.20093327240062536
48,-2.4752601250000006,-1.8304173750000001,-2.5994133749999997,-1.2050481250000002,-26.7634587,-34.873597700000005,0.2112352290102822
49,-2.5531507500000004,-0.2660797500000001,-2.516314375,-1.2118510000000002,-21.6064063875,-28.1538022625,0.22561607112242402
50,-2.19899425,-1.2577441249999999,-2.46322525,-1.1567587500000003,-23.3531838375,-30.4299062125,0.22434440927710586
51,-1.5051213750000003,-1.858497625,-2.508470125,-1.2364983750000003,-23.458338750000003,-30.56692625,0.22581311813869237
52,-2.262754375,-0.4831310000000002,-1.4928808750000007,-0.7449135,-16.446143175,-21.429822925,0.2401247996920809
53,-2.287357,-0.71986175,-1.2939063750000006,-0.7175505000000001,-16.561629562500002,-21.580305187500002,0.24099517549182897
54,-2.174454875,-0.7111801249999999,-1.267805,-0.766736625,-16.2365828625,-21.1567594875,0.24278430682218116
55,-1.1993300000000002,-0.7529695000000003,-1.4489107500000005,-0.770648,-13.767132225000001,-17.938990475000004,0.24752689911330356
56,-0.9999072500000001,-0.17132024999999979,-1.26814275,-0.6222233749999999,-10.1032589625,-13.1648525875,0.254599158406029
57,-1.8725606250000002,-0.17495575,-1.0682540000000003,-0.543997875,-12.077235225000003,-15.737003475000003,0.2510732300223162
58,-1.8411063750000005,-0.20058837499999982,0.005738074999999939,-0.6378218750000001,-8.815353937500001,-11.489132487500001,0.25218545481887156
59,-1.3965860000000005,-0.10725637499999988,0.9406879125,-0.6334377500000001,-2.618352825000002,-3.8149450375000025,0.2570163220997523
60,-0.5150743749999996,-0.20025562499999996,0.0,-0.5143788750000001,-4.0580392875,-5.2877481625,0.25584794166244873
61,0.0,0.0,0.0,0.0,-0.0,0.0,0.260791397089036
62,-0.5093663750000001,0.0,1.1376042125,0.0,-0.375,0.25323783749999995,0.25918861681956445
63,-1.135275,0.0,0.0,-0.314526375,-4.7843445375,-6.2341459125,0.24603163816675203
64,-1.8071149999999996,0.0,0.651639275,-0.716441125,-5.255721487499999,-7.127638337499999,0.238278382281661
65,-1.6398186250000002,0.0,0.27848344999999997,-0.573706875,-5.9917836,-7.92682565,0.2339874623086766
66,-1.2768138750000002,0.0,0.0,-0.46669649999999996,-5.753584237500002,-7.4970946125000015,0.23027555107156344
67,-1.443573,0.0,0.0,-0.47633837499999976,-6.3357075374999985,-8.255618912499997,0.2239600117642198
68,-1.276466,0.0,-0.15381562499999948,-0.66884725,-6.927125287499998,-9.026254162499999,0.21730668572010153
69,-1.3793778749999999,0.0,0.0,0.0,-4.551946987499999,-5.931324862499999,0.21525060555434605
70,-1.1660272499999997,0.0,0.0,0.0,-3.847889924999999,-5.013917174999999,0.2097385366353768
71,-1.4490073749999999,0.0,0.9867357500000002,0.0,-0.12997008749999886,-0.5922417124999985,0.20509521195257047
72,-1.3281114999999997,0.0,0.0,0.0,-4.382767949999999,-5.710879449999998,0.19556733317810887
73,-1.1855526250000001,0.0,0.23850207499999987,0.0,-2.787956737500001,-3.735007287500001,0.1899524772544186
74,0.0,0.0,0.28673732500000004,0.0,-0.37500000000000006,-0.08826267500000001,0.18787179315602698
75,0.0,0.0,0.6185472125000003,0.0,-0.375,0.24354721250000033,0.18169701736773924
76,-0.7203419999999998,0.0,0.0,0.0,-2.3771285999999994,-3.0974705999999994,0.1698490588762943
77,-0.39163712499999975,0.0,0.6911902375,0.0,-0.375,-0.07544688749999978,0.16604206312783093
78,-0.8255278749999999,0.0,0.33996235000000014,0.0,-1.121562337499999,-1.6071278624999987,0.15638080863965573
79,-1.164231625,0.0,0.09971044999999994,0.0,-3.3719008125000003,-4.4364219875,0.1476364252519356
80,-0.3253003749999998,0.0,0.0,0.0,-1.0734912374999994,-1.3987916124999993,0.14361791779605154
81,-0.6548612499999997,0.0,0.0,0.0,-2.161042124999999,-2.8159033749999987,0.13590878056690325
82,-0.6580772499999998,0.0,0.11557192500000012,0.0,-1.626815849999999,-2.1693211749999985,0.12983896176814277
83,-0.2668863749999996,0.0,0.0,0.0,-0.8807250374999988,-1.1476114124999983,0.12468516922698956
84,-0.5348773750000003,-1.7763568394002506e-16,0.0,0.0,-1.7650953375000018,-2.2999727125000025,0.11791395621928366
85,-1.3621077500000003,0.0,0.0,0.0,-4.4949555750000005,-5.857063325,0.10975962094739336
86,-1.2987177500000004,0.0,0.28233773749999996,0.0,-2.9547478125000017,-3.971127825000002,0.10528852466400337
87,-1.2477546250000005,0.0,0.24124747500000016,0.0,-2.9802807375,-3.9867878875000002,0.10029839421099618
88,-1.2799806250000003,0.0,0.13700793750000004,0.0,-3.578041500000001,-4.721014187500002,0.09522595468095227
89,-1.239156125,0.0,0.05906801249999989,-0.18407662500000016,-4.418204587500001,-5.782369325000001,0.09001888005093894
90,-1.340219625,0.0,0.050252737499999936,-0.1569727499999999,-4.703829075,-6.1507687125,0.08570296036980357
91,-1.5349880000000002,0.0,0.09684333749999983,-0.4740213750000001,-6.173183775000003,-8.085349812500002,0.08034334107863192
92,-1.675614375,0.0,0.0,-0.589426125,-7.4746336499999995,-9.739674149999999,0.07592364867719559
93,-1.6388040000000001,0.0,0.2878313375000001,-0.6473572500000002,-6.1874129625,-8.185742875,0.07320018689615547
94,-1.6916126249999999,0.0,0.17206052499999994,-0.559428125,-6.617292000000001,-8.696272225000001,0.0702591949936877
95,-0.10551859375000006,0.0,0.2611049999999999,0.0,-0.25746536875000015,-0.10187896250000028,0.07058372376272543
