Step,MG1_Cost(Euro),MG2_Cost(Euro),MG3_Cost(Euro),MG4_Cost(Euro),DG_Cost(Euro),Total_System_Cost(Euro),Network_Loss(MW)
0,-0.10973933750000006,-0.18381220000000004,0.16536649999999994,-0.08634908750000007,-0.3603918125000005,-0.5749259375000007,0.07007890767878827
1,-0.2135414124999997,0.0,0.1566372375,-0.19690238750000008,-0.4392223374999994,-0.6930288999999992,0.06801488361836117
2,-0.2415892375,-0.31421438750000014,0.0,-0.11369312499999985,-1.622242125,-2.291738875,0.06530259118109913
3,-0.14015316250000018,-0.30871961249999985,0.07373429999999997,-0.21813366250000008,-1.3469248000000003,-1.9401969375000003,0.06384047756003422
4,-0.8640077874999997,-0.47374031249999987,0.15803878124999995,-0.39649252500000004,-3.650766843749999,-5.2269686874999985,0.06067748989332713
5,-0.7568229499999997,-0.4002123125,0.0,-0.25084052500000004,-3.5738385374999995,-4.981714324999999,0.06018667258667706
6,-0.6679892374999997,-0.4819319374999998,0.1430561249999999,-0.34001256250000006,-3.7821394874999985,-5.129017099999999,0.05925174512143901
7,-0.47469581249999987,-0.4546928749999998,0.052476550000000025,-0.34644155,-2.991256537499999,-4.214610224999999,0.05931352194937984
8,0.0,-0.5397912000000001,0.09941041250000002,-0.21304318749999995,-1.44239205,-2.095816025,0.06015347548957982
9,0.6386641875000002,-0.7216745250000002,0.12091520000000007,-0.2849946124999999,-1.9853620875000002,-2.2324518375,0.05970573739683373
10,-0.31543346250000015,-0.7046240500000002,0.03554346250000004,-0.2939145625000001,-3.167905537500001,-4.446334150000001,0.059455914539940445
11,-1.6391032125,-0.48679475000000016,0.025157037500000003,-0.37634626250000014,-6.233253262500002,-8.710340450000002,0.05826463094457993
12,-1.8301877749999997,-0.7062706624999997,0.13732958750000018,-0.26249470000000014,-6.457623974999998,-9.119247524999997,0.05879630290389202
13,-1.2488818874999998,-0.8244651999999999,0.08226041250000007,-0.27234886250000007,-5.566659862499999,-7.8300953999999985,0.06054262995344319
14,-1.8281685499999998,-0.920313225,0.10200111250000005,-0.3981973125,-7.50686145,-10.551539425,0.06054289903008976
15,-1.7154210124999996,-0.6193053750000002,0.05617963750000006,-0.29447275000000017,-6.409274024999998,-8.982293525,0.06338723483663403
16,-1.8637648249999996,-0.7288295625000001,0.0,-0.3622539375000001,-7.500768825000001,-10.45561715,0.06460354665290172
17,-1.7854745999999997,-0.6803379375,0.12993645000000006,-0.4182618375000001,-6.708554324999999,-9.462692249999998,0.06725907625193628
18,-2.0161368499999996,-0.630836375,0.03730798750000008,-0.3794945375,-7.506691499999998,-10.495851274999996,0.06948856915300591
19,-1.8466040125,-0.6731999625000002,0.08635716250000003,-0.30531442500000017,-6.764342062500002,-9.503103300000003,0.07283646532287072
20,-2.189711875,-0.601714425,0.06825717500000002,-0.49010357499999996,-8.008253550000001,-11.22152625,0.07504237041160818
21,-2.1766675124999995,-0.6845359625000002,0.11164597500000008,-0.5507281000000002,-8.13472605,-11.43501165,0.07819537129727529
22,-2.0359221999999995,-0.37110888749999993,0.09576300000000013,-0.3786914625000001,-7.07144955,-9.761409099999998,0.08338786227807557
23,-2.169760775,0.0,0.0,-0.1279438875000002,-5.8326349125,-8.130339575,0.08906616426264283
24,-2.2237024875,-0.01032655000000025,0.09124368750000006,0.0,-5.240847975000001,-7.383633325000002,0.09390445415859124
25,-2.140828625,0.0,0.1332226875000001,0.0,-4.8063613125,-6.81396725,0.09892305499267635
26,-2.2999981875000004,-0.12373334999999985,0.11176156250000009,0.0,-5.6256733500000005,-7.937643325000001,0.10310307829896928
27,-2.2886683625,0.0,0.0,0.0,-5.8096966125,-8.098364974999999,0.10856858261552815
28,-2.3423729875,-0.7265674,-0.1705213249999999,0.0,-8.2232489625,-11.462710675,0.11117551610807427
29,-2.1834587125000002,-0.9113505374999998,-0.22454233750000005,0.0,-8.4260463375,-11.745397925,0.11653018794406572
30,-2.229740825,0.0,0.0,0.0,-5.660111325000001,-7.889852150000001,0.12608148570094566
31,-2.38466085,-1.3313309749999997,-0.146198325,0.0,-9.804021149999999,-13.666211299999999,0.12665401495015854
32,-2.507793275,-2.431206862500001,-0.7339812999999998,0.0,-14.400645187500002,-20.073626625000003,0.12775668728189513
33,-2.1727951375000005,-1.3200747625000009,-0.6311826624999998,0.0,-10.468748812500003,-14.592801375000004,0.13932260443631864
34,-2.33395045,-0.836063150000001,-0.011586412499999721,-0.209844375,-8.609051137500003,-12.000495525000005,0.1475581757843552
35,-2.4907441000000006,-0.9714677374999997,0.0,-0.14279151250000016,-9.15116235,-12.7561657,0.15360211725804127
36,-2.364935625,-3.0791125625,-2.2102284750000005,0.0,-19.430086912500006,-27.084363575000005,0.14942137284342452
37,-2.3340817499999997,-2.9732547000000005,-2.3471306625,0.0,-19.4305703625,-27.085037475,0.15632524809714432
38,-2.2947586999999996,-2.9589148875000006,-2.1898012500000004,0.0,-18.894974587500002,-26.338449425,0.16334854973630306
39,-2.2815949000000004,-2.995426525000001,0.0,0.0,-13.395515925000005,-18.672537350000006,0.17329721010208837
40,-1.2743628624999996,-3.20996585,-2.3092638912203257e-16,-0.4145097124999998,-12.435512925000001,-17.334351350000002,0.18018218532918037
41,-1.8707415999999997,-3.2079206249999994,0.0,-1.5956822375000002,-16.9425667125,-23.616911175,0.17965284776791599
42,-2.2072597625,-3.165700524999999,-0.7764183374999998,-1.86717765,-20.349719774999997,-28.366276049999996,0.1825039023533565
43,0.03689399999999949,-3.1100985499999996,-0.8775311999999993,-1.889875975,-14.919822224999997,-20.760433949999996,0.19541231416805477
44,-0.5340811124999998,-3.1155809750000008,-1.6786627000000003,-2.2433591374999997,-19.220428425,-26.792112350000004,0.19649131622020768
45,-2.1941421125,-3.2260387250000004,0.0,-1.3314162874999997,-17.138669625000002,-23.890266750000002,0.20320565447581662
46,-2.4483268875,-3.1564560625,-2.710851975,-2.2516030874999995,-26.8245272625,-37.391765275,0.19886299478212743
47,-2.7028512874999997,-2.9899263875,-3.4695740625,-2.534552475,-29.692141462499997,-41.389045675,0.20093327240062536
48,-3.2178381625000005,-2.3795425875,-3.3792373874999995,-1.5665625625000001,-26.7634587,-37.3066394,0.2112352290102822
49,-3.3190959750000006,-0.34590367500000013,-3.2712086874999997,-1.5754063,-21.6064063875,-30.118021025,0.22561607112242402
