Step,MG1_Cost(Euro),MG2_Cost(Euro),MG3_Cost(Euro),MG4_Cost(Euro),DG_Cost(Euro),Total_System_Cost(Euro),Network_Loss(MW)
0,-0.10551859375000006,-0.17674250000000002,0.0,-0.08302796875000007,-0.8913053125000003,-1.2565943750000006,0.06985434982684804
1,-0.2135414124999997,0.01944424999999992,0.0,-0.19690238750000008,-0.8888452499999997,-1.2798447999999996,0.06786294759767322
2,-0.2415892375,-0.31421438750000014,0.0,-0.11369312499999985,-1.5449925,-2.2144892499999997,0.06530259118109913
3,-0.13476265625000017,-0.29684578124999983,0.0,-0.20974390625000006,-1.56489971875,-2.2062520625,0.06372693190886278
4,-0.7975456499999997,-0.4372987499999999,0.0,-0.3659931,-4.135496874999999,-5.736334374999999,0.06042213274121788
5,-0.6694972249999996,-0.35403396875,0.0,-0.22189738750000002,-3.41139133125,-4.6568199125,0.06018667258667706
6,-0.5652216624999996,-0.4077885624999998,0.0,-0.2877029375,-3.667529199999999,-4.928242362499998,0.05925174512143901
7,-0.3834081562499998,-0.36725193749999974,0.0,-0.27981817499999995,-3.189575593749999,-4.220053862499999,0.05922415967072581
8,0.0,-0.45674640000000005,0.0,-0.18026731249999994,-1.8531308000000004,-2.4901445125000006,0.05998330045400238
9,0.0,-0.5828909625,0.0,-0.2301879562499999,-2.5166728437500008,-3.329751762500001,0.05949883727404902
10,-0.24264112500000012,-0.5420185000000001,0.0,-0.22608812500000008,-3.3354675750000005,-4.346215325000001,0.05939524327221686
11,-1.3238910562500001,-0.39318037500000014,0.0,-0.30397198125000013,-6.255610562500001,-8.276653975000002,0.058221908762805204
12,-1.4782285874999999,-0.5704493812499999,0.0,-0.21201495000000012,-7.1050348875,-9.36572780625,0.058560874648294986
13,-1.00871229375,-0.6659142,0.0,-0.21997408125000006,-5.864239874999999,-7.758840449999999,0.060399904918018846
14,-1.4765976749999998,-0.7433299125,0.0,-0.32162090625,-7.86669771875,-10.4082462125,0.060364891542108376
15,-1.4515100874999998,-0.5240276250000002,0.0,-0.24916925000000015,-6.471874799999999,-8.6965817625,0.06328749965056962
16,-1.6487150374999997,-0.6447338437500001,0.0,-0.32045540625000013,-7.1598247875,-9.773729075,0.06460354665290172
17,-1.6481303999999999,-0.6280042500000002,0.0,-0.3860878500000002,-6.877408124999999,-9.539630625,0.06702046961445662
18,-1.938593125,-0.6065734375000001,0.0,-0.36489859375000006,-7.333364193749999,-10.24342935,0.06941903989779125
19,-1.7045575500000003,-0.6214153500000003,0.0,-0.2818287000000002,-6.7368208,-9.3446224,0.07267165518917798
20,-1.9370528125000002,-0.5322858375000001,0.0,-0.4335531625,-7.951399312499999,-10.854291125,0.07490982252072136
21,-2.00923155,-0.6318793500000002,0.0,-0.5083644000000002,-8.136144524999999,-11.285619825,0.07797351312503242
22,-1.9576175,-0.35683546875,0.0,-0.3641264062500001,-6.5357336749999995,-9.21431305,0.08338786227807557
23,-2.169760775,-0.3331209375000001,0.0,-0.1279438875000002,-6.071135999999999,-8.701961599999999,0.08802290962256001
24,-2.13817546875,-0.00992937500000024,0.0,0.0,-5.241375818750001,-7.389480662500001,0.09370775286031713
25,-1.9761495,-0.07308929999999997,0.0,0.0,-5.293866900000001,-7.343105700000001,0.09836369636223784
26,-2.21153671875,-0.11897437499999985,0.0,0.0,-5.872887956250001,-8.203399050000002,0.10284984338887268
27,-2.1126169499999996,0.43753623749999987,0.0,0.0,-3.9505245250000005,-5.6256052375,0.11083600313880265
28,-2.1621904499999998,-0.6706775999999999,-0.15740429999999989,0.0,-7.724870237499999,-10.715142587499999,0.11117551610807427
29,-2.09947953125,-0.8762985937499999,-0.21590609375000003,0.0,-7.78770949375,-10.9793937125,0.11653018794406572
30,-2.229740825,-1.0662180749999999,-0.24567188750000005,0.0,-8.4454272625,-11.98705805,0.12175829156881844
31,-2.292943125,-1.2801259374999998,-0.1405753125,0.0,-9.061292275,-12.774936649999999,0.12665401495015854
32,-2.507793275,-2.431206862500001,-0.7339812999999998,0.0,-13.091495625000002,-18.764477062500003,0.12775668728189513
33,-2.1727951375000005,-1.3200747625000009,-0.6311826624999998,0.0,-9.675661781250003,-13.799714343750004,0.13932260443631864
34,-2.33395045,-0.836063150000001,-0.011586412499999721,-0.209844375,-7.826410125000002,-11.217854512500004,0.1475581757843552
35,-2.3949462500000003,-0.9341035937499997,0.0,-0.13729953125000016,-8.457892475000001,-11.924241850000001,0.15360211725804127
36,-2.364935625,-3.0791125625,-2.2102284750000005,0.0,-17.663715375000002,-25.317992037500005,0.14942137284342452
37,-2.244309375,-2.8588987500000003,-2.25685640625,0.0,-17.95855745625,-25.3186219875,0.15632524809714432
38,-2.1182388,-2.7313060500000006,-2.021355,0.0,-17.749824612500003,-24.620724462500004,0.16334854973630306
39,-2.01833395,-2.6498003875000005,-1.3334977375,0.0,-16.439253075000003,-22.440885150000003,0.17088983350096681
40,-1.0783070374999995,-2.7161249499999998,-1.9376396874999995,-0.3507389874999998,-17.6954492,-23.778259862499997,0.1764810659696659
41,-1.6548867999999997,-2.837775937499999,-1.4537103999999998,-1.41156505625,-20.794173156249997,-28.152111349999995,0.17695468423943173
42,-1.8676813374999996,-2.678669674999999,-0.6569693624999997,-1.5799195499999998,-19.7330616,-26.516301524999996,0.1825039023533565
43,0.0,-2.5120026749999993,-0.7087751999999993,-1.5264382874999998,-14.693764312499997,-19.440980474999996,0.19541231416805477
44,-0.4313732062499997,-2.5164307875,-1.35584295,-1.8119439187499995,-19.220428425,-25.3360192875,0.19649131622020768
45,-1.7721917062499994,-2.6056466625,-1.651601043749999,-1.0753746937499995,-22.329415762499995,-29.434229868749995,0.19964395496000978
46,-1.9774947937499996,-2.5494452812499997,-2.1895342875,-1.8186024937499994,-26.8245272625,-35.35960411875,0.19886299478212743
47,-2.287028012499999,-2.5299377124999998,-2.9357934374999997,-2.1446213249999997,-29.242260531249997,-39.13964101875,0.20093327240062536
48,-2.599023131250001,-1.9219382437500003,-2.7293840437499997,-1.2653005312500003,-26.35795175,-34.873597700000005,0.2112352290102822
49,-2.8084658250000007,-0.2926877250000002,-2.7679458125,-1.3330361000000002,-20.951666800000005,-28.153802262500008,0.22561607112242402
50,-2.3089439625000003,-1.32063133125,-2.5863865125,-1.2145966875000003,-22.999347718750002,-30.4299062125,0.22434440927710586
51,-1.5803774437500004,-1.9514225062500001,-2.63389363125,-1.2983232937500004,-23.458338750000003,-30.922355625,0.22581311813869237
52,-2.3758920937500005,-0.5072875500000003,-1.5675249187500007,-0.782159175,-16.1969591875,-21.429822925000003,0.2401247996920809
53,-2.5160927000000006,-0.791847925,-1.4232970125000006,-0.7893055500000001,-16.059762,-21.580305187500002,0.24099517549182897
54,-2.5006231062500004,-0.8178571437500001,-1.4579757500000003,-0.88174711875,-15.498556368749998,-21.156759487499997,0.24278430682218116
55,-1.4391960000000004,-0.9035634000000005,-1.7386929000000007,-0.9247776000000001,-12.932760575000001,-17.938990475000004,0.24752689911330356
56,-1.2498840625000003,-0.21415031249999977,-1.5851784375000002,-0.7777792187500001,-9.33786055625,-13.1648525875,0.254599158406029
57,-2.2470727500000005,-0.20994690000000002,-1.2819048000000004,-0.6527974500000001,-11.345281575000001,-15.737003475000002,0.2510732300223162
58,-2.301382968750001,-0.2507354687499998,0.0,-0.7972773437500003,-8.17252570625,-11.5219214875,0.2521646408236341
59,-1.675903200000001,-0.12870764999999987,0.0,-0.7601253000000002,-6.6255683874999995,-9.190304537500001,0.2535414055073015
60,-0.5923355312499997,-0.23029396875,0.0,-0.5915357062500002,-3.873582956249999,-5.287748162499999,0.25584794166244873
61,0.0,0.5240355000000001,0.0,0.0,-0.44050443750000007,0.08353106250000003,0.26591383383851136
62,-0.5857713312500002,0.3079231250000002,0.0,0.0,-0.46337720624999995,-0.7412254125,0.2577666687831818
63,-1.3623300000000003,0.2990518875000001,0.0,-0.37743165000000006,-3.4643166499999998,-4.9050264125,0.24852098616165078
