Step,Total_Active_Loss_MW
0,0.06985434982684804
1,0.06786294759767322
2,0.06530259118109913
3,0.06384047756003422
4,0.06067748989332713
5,0.06018667258667706
6,0.05925174512143901
7,0.05922415967072581
8,0.05998330045400238
9,0.05949883727404902
10,0.05939524327221686
11,0.058221908762805204
12,0.058560874648294986
13,0.06054262995344319
14,0.06054289903008976
15,0.06328749965056962
16,0.06482958861202749
17,0.06702046961445662
18,0.06948856915300591
19,0.07267165518917798
20,0.07490982252072136
21,0.07797351312503242
22,0.08338786227807557
23,0.08906616426264283
24,0.09370775286031713
25,0.09865859320235537
26,0.10284984338887268
27,0.11083600313880265
28,0.11117551610807427
29,0.11653018794406572
30,0.12175829156881844
31,0.12665401495015854
32,0.12775668728189513
33,0.13932260443631864
34,0.1475581757843552
35,0.15776517919711344
36,0.14942137284342452
37,0.16912112028808834
38,0.16334854973630306
39,0.17088983350096681
40,0.1764810659696659
41,0.17695468423943173
42,0.1825039023533565
43,0.19541231416805477
44,0.19649131622020768
45,0.19964395496000978
46,0.19886299478212743
47,0.20093327240062536
48,0.2112352290102822
49,0.22561607112242402
50,0.22434440927710586
51,0.22581311813869237
52,0.2451640644111798
53,0.24099517549182897
54,0.24278430682218116
55,0.25283655105602615
56,0.254599158406029
57,0.2510732300223162
58,0.25659582040431894
59,0.2579305877667929
60,0.25584794166244873
61,0.26227035726550163
62,0.25918861681956445
63,0.2518230542975356
64,0.23596971435395409
65,0.23679348216200063
66,0.23052760136406794
67,0.2239600117642198
68,0.21730668572010153
69,0.21785519783319296
70,0.2150570737782879
71,0.2047678897245609
72,0.200720524880813
73,0.2009302507643987
74,0.1954222211528584
75,0.1804710417061951
76,0.1707840608307918
77,0.1705732492964374
78,0.15775009743437446
79,0.15116473493117505
80,0.146079555087691
81,0.13737897077409555
82,0.1335299679060445
83,0.13133495744031398
84,0.12166133656236944
85,0.11291009927654293
86,0.10703117344601826
87,0.10196406640445335
88,0.09541703495957199
89,0.08989443129156463
90,0.0862847030904041
91,0.08014972121414365
92,0.07592364867719559
93,0.07264774653154966
94,0.06993673239980075
