timestamp,action,reward,battery_soc,diesel_power,battery_power,grid_power,load_shedding,renewable_curtailment,fuel_level,power_balance_error,total_generation,total_consumption,renewable_generation,load_demand,has_line_violation,line_violations
2019-01-01 06:30:00,"[-1, 0]",0.19532774625,0.5096849074864473,0.0,0.0,-6.0100845,0.0,0.0,95.38504475,4.440892098500626e-16,3.7339155,3.7339154999999997,9.744,3.7339154999999997,False,{}
2019-01-01 06:45:00,"[-1, 0]",0.19374157074999998,0.5096849074864473,0.0,0.0,-5.9612791,0.0,0.0,95.38504475,0.0,3.7827209,3.7827209,9.744,3.7827209,False,{}
2019-01-01 07:00:00,"[-1, 0]",0.19829621825000002,0.5096849074864473,0.0,0.0,-6.101422100000001,0.0,0.0,95.38504475,-4.440892098500626e-16,3.870577899999999,3.8705778999999993,9.972,3.8705778999999993,False,{}
2019-01-01 07:15:00,"[-1, 0]",0.17604821975,0.5096849074864473,0.0,0.0,-5.4168683,0.0,0.0,95.38504475,0.0,4.5551317,4.5551317,9.972,4.5551317,False,{}
2019-01-01 07:30:00,"[-1, 0]",0.1825277155,0.5096849074864473,0.0,0.0,-5.616237399999999,0.0,0.0,95.38504475,0.0,4.3557626,4.3557626,9.972,4.3557626,False,{}
2019-01-01 07:45:00,"[-1, -1]",0.204216519,0.5096849074864473,0.0,0.0,-6.2835852,0.0,0.0,95.38504475,0.0,3.6884147999999994,3.6884147999999994,9.972,3.6884147999999994,False,{}
2019-01-01 08:00:00,"[-1, 0]",0.21849105849999997,0.5096849074864473,0.0,0.0,-6.722801799999999,0.0,0.0,95.38504475,4.440892098500626e-16,3.4771982,3.4771981999999997,10.2,3.4771981999999997,False,{}
2019-01-01 08:15:00,"[-1, 0]",0.17159131925,0.5096849074864473,0.0,0.0,-5.2797329,0.0,0.0,95.38504475,0.0,4.920267099999999,4.920267099999999,10.2,4.920267099999999,False,{}
2019-01-01 08:30:00,"[-1, 0]",0.194153063,0.5096849074864473,0.0,0.0,-5.973940399999999,0.0,0.0,95.38504475,0.0,4.2260596,4.2260596,10.2,4.2260596,False,{}
2019-01-01 08:45:00,"[-1, 0]",0.21610417399999998,0.5096849074864473,0.0,0.0,-6.649359199999999,0.0,0.0,95.38504475,0.0,3.5506408,3.5506408,10.2,3.5506408,False,{}
2019-01-01 09:00:00,"[-1, 0]",0.2020269875,0.5096849074864473,0.0,0.0,-6.216215,0.0,0.0,95.38504475,4.440892098500626e-16,3.711785000000001,3.7117850000000003,9.928,3.7117850000000003,False,{}
2019-01-01 09:15:00,"[0, 0]",0.197707445,0.5096849074864473,0.0,0.0,-6.083306,0.0,0.0,95.38504475,-4.440892098500626e-16,3.8446940000000005,3.844694000000001,9.928,3.844694000000001,False,{}
2019-01-01 09:30:00,"[-1, 0]",0.19220221800000004,0.5096849074864473,0.0,0.0,-5.913914400000001,0.0,0.0,95.38504475,0.0,4.0140856,4.0140856,9.928,4.0140856,False,{}
2019-01-01 09:45:00,"[1, 0]",-0.0,0.5124670816664474,0.0,-5.8572088,0.0,0.0,0.0,95.38504475,0.0,4.0707912,4.0707912,9.928,4.0707912,False,{}
2019-01-01 10:00:00,"[-1, 0]",0.04575880075,0.5124670816664474,0.0,0.0,-1.4079631,0.0,0.0,95.38504475,0.0,8.7960369,8.7960369,10.204,8.7960369,False,{}
2019-01-01 10:15:00,"[-1, 0]",0.12925182400000002,0.5124670816664474,0.0,0.0,-3.9769792000000006,0.0,0.0,95.38504475,0.0,6.2270208,6.2270208,10.204,6.2270208,False,{}
2019-01-01 10:30:00,"[-1, 0]",0.17636436675000003,0.5124670816664474,0.0,0.0,-5.426595900000001,0.0,0.0,95.38504475,0.0,4.7774041,4.7774041,10.204,4.7774041,False,{}
2019-01-01 10:45:00,"[-1, 0]",-0.0,0.5102463776664474,0.0,4.219337599999996,0.0,0.0,0.0,95.38504475,0.0,14.423337599999996,14.423337599999996,10.204,14.423337599999996,False,{}
